B7_016,F_020,M_F,B3_007,B7_015,F_019,L1_001,M_B7
-4.996828,-1.125491,-3.1320045,-1.268902,-6.471422,-5.138518,-3.38481,-5.734125
-3.732208,-0.308351,-3.0440385,-1.903353,-6.031348,-5.779726,-3.277022,-4.881778
-5.102213,-0.410494,-2.667638,-1.321773,-5.756302,-4.924782,-3.061446,-5.4292575
-4.259133,-0.410494,-2.721072,-1.74474,-6.031348,-5.03165,-3.38481,-5.1452405
-4.891443,-1.636204,-3.547663,-1.797611,-6.086357,-5.459122,-3.492599,-5.4889
-4.891443,-1.431919,-3.4455205,-2.220579,-6.416413,-5.459122,-3.492599,-5.653928
-4.891443,-2.351201,-3.8784445,-1.797611,-6.251385,-5.405688,-3.977646,-5.571414
-4.469902,-1.840489,-3.7566735,-2.32632,-6.856486,-5.672858,-3.600387,-5.663194
-5.734523,-3.270484,-4.498388,-2.802159,-7.241551,-5.726292,-4.139328,-6.488037
-5.102213,-2.453344,-4.169969,-2.696417,-7.35157,-5.886594,-4.139328,-6.2268915
-4.996828,-3.066199,-4.6366985,-2.696417,-7.626616,-6.207198,-4.247116,-6.311722
-5.839908,-2.964056,-4.6123435,-2.379191,-7.736634,-6.260631,-4.732163,-6.788271
-5.734523,-3.679054,-5.1301445,-2.696417,-7.626616,-6.581235,-4.94774,-6.6805695
-6.366833,-2.759771,-4.4300505,-3.172255,-7.461588,-6.10033,-4.732163,-6.9142105
-4.786058,-2.964056,-4.6123435,-2.537804,-7.406579,-6.260631,-4.516587,-6.0963185
-5.523753,-3.270484,-4.7922745,-3.383739,-7.461588,-6.314065,-4.247116,-6.4926705
-4.048362,-2.657629,-4.592715,-2.85503,-7.021514,-6.527801,-4.139328,-5.534938
-4.575287,-3.576911,-5.159224,-3.595222,-7.186542,-6.741537,-4.139328,-5.8809145
-6.050678,-3.474769,-4.947851,-2.802159,-7.29656,-6.420933,-4.139328,-6.673619
-6.577604,-3.066199,-4.6099815,-3.383739,-7.461588,-6.153764,-4.247116,-7.019596
-6.472218,-3.066199,-4.957302,-3.648093,-7.956671,-6.848405,-3.923751,-7.2144445
