Date,B1_004,B2_006,B3_008,F_020,L1_002,M_B1,M_B2,M_F,M_L1,B1_003,B2_005,F_019,L1_001
2016/9/10,-9.301869,-8.939575,-9.655515,-8.976047,-9.219894,-10.6391865,-10.1745515,-10.2295955,-10.3778555,-11.976504,-11.409528,-11.483144,-11.535817
2016/9/11,-9.301869,-8.939575,-9.655515,-8.976047,-9.219894,-10.5141015,-10.052085,-10.1063395,-10.2562805,-11.726334,-11.164595,-11.236632,-11.292667
2016/9/12,-9.301869,-8.939575,-9.655515,-8.976047,-9.219894,-10.5141015,-10.052085,-10.1063395,-10.2562805,-11.726334,-11.164595,-11.236632,-11.292667
2016/9/13,-9.011186,-8.651202,-9.35378,-8.686497,-8.922478,-10.2436755,-9.7854325,-9.838308,-9.9859975,-11.476165,-10.919663,-10.990119,-11.049517
2016/9/14,-8.720503,-8.362829,-9.052046,-8.396947,-8.625062,-10.2234185,-9.763712,-9.8167895,-9.9588645,-11.726334,-11.164595,-11.236632,-11.292667
2016/9/15,-8.429819,-8.074455,-8.750311,-8.107397,-8.327646,-10.0780765,-9.619525,-9.6720145,-9.8101565,-11.726334,-11.164595,-11.236632,-11.292667
2016/9/16,-7.557769,-7.209335,-7.845106,-7.238748,-7.435399,-9.141713,-8.6971005,-8.7446645,-8.8777325,-10.725657,-10.184866,-10.250581,-10.320066
2016/9/17,-7.557769,-7.209335,-7.845106,-7.238748,-7.435399,-9.141713,-8.6971005,-8.7446645,-8.8777325,-10.725657,-10.184866,-10.250581,-10.320066
2016/9/18,-6.976402,-6.632588,-7.241636,-6.659648,-6.840568,-8.60086,-8.1637945,-8.208602,-8.3371665,-10.225318,-9.695001,-9.757556,-9.833765
2016/9/19,-6.685719,-6.344214,-6.939901,-6.370098,-6.543152,-8.4555185,-8.0196075,-8.063827,-8.1884585,-10.225318,-9.695001,-9.757556,-9.833765
2016/9/20,-5.813669,-5.479094,-6.034697,-5.501448,-5.650904,-7.769324,-7.3421155,-7.3829895,-7.4991845,-9.724979,-9.205137,-9.264531,-9.347465
2016/9/21,-5.522985,-5.190721,-5.732962,-5.211898,-5.353488,-7.498897,-7.0754625,-7.114958,-7.2289015,-9.474809,-8.960204,-9.018018,-9.104315
2016/9/22,-4.941618,-4.613974,-5.129492,-4.632798,-4.758656,-6.9580445,-6.542157,-6.5788955,-6.688335,-8.974471,-8.47034,-8.524993,-8.618014
2016/9/23,-5.232302,-4.902347,-5.431227,-4.922348,-5.056072,-7.228471,-6.8088095,-6.846927,-6.9586185,-9.22464,-8.715272,-8.771506,-8.861165
2016/9/24,-5.522985,-5.190721,-5.732962,-5.211898,-5.353488,-7.498897,-7.0754625,-7.114958,-7.2289015,-9.474809,-8.960204,-9.018018,-9.104315
2016/9/25,-6.104352,-5.767468,-6.336431,-5.790998,-5.94832,-7.7895805,-7.363836,-7.404508,-7.5263175,-9.474809,-8.960204,-9.018018,-9.104315
2016/9/26,-6.104352,-5.767468,-6.336431,-5.790998,-5.94832,-7.7895805,-7.363836,-7.404508,-7.5263175,-9.474809,-8.960204,-9.018018,-9.104315
2016/9/27,-6.976402,-6.632588,-7.241636,-6.659648,-6.840568,-8.2256055,-7.796396,-7.838833,-7.9724415,-9.474809,-8.960204,-9.018018,-9.104315
2016/9/28,-5.813669,-5.479094,-6.034697,-5.501448,-5.650904,-8.0194935,-7.5870475,-7.629502,-7.7423345,-10.225318,-9.695001,-9.757556,-9.833765
2016/9/29,-5.232302,-4.902347,-5.431227,-4.922348,-5.056072,-7.228471,-6.8088095,-6.846927,-6.9586185,-9.22464,-8.715272,-8.771506,-8.861165
2016/9/30,-3.778885,-3.46048,-3.922553,-3.474599,-3.568993,-6.1265085,-5.7204775,-5.7532835,-5.8503535,-8.474132,-7.980475,-8.031968,-8.131714
2016/10/1,-3.197518,-2.883734,-3.319083,-2.895499,-2.974161,-5.5856555,-5.1871725,-5.217221,-5.3097875,-7.973793,-7.490611,-7.538943,-7.645414
2016/10/2,-3.488201,-3.172107,-3.620818,-3.185049,-3.271577,-5.4808275,-5.0864265,-5.1154835,-5.215345,-7.473454,-7.000746,-7.045918,-7.159113
2016/10/3,-3.197518,-2.883734,-3.319083,-2.895499,-2.974161,-5.2104015,-4.819774,-4.847452,-4.945062,-7.223285,-6.755814,-6.799405,-6.915963
2016/10/4,-2.325467,-2.018613,-2.413878,-2.026849,-2.081913,-4.774376,-4.3872135,-4.413127,-4.498938,-7.223285,-6.755814,-6.799405,-6.915963
2016/10/5,-2.616151,-2.306987,-2.715613,-2.316399,-2.379329,-4.919718,-4.5314005,-4.557902,-4.647646,-7.223285,-6.755814,-6.799405,-6.915963
2016/10/6,-2.325467,-2.018613,-2.413878,-2.026849,-2.081913,-4.649291,-4.2647475,-4.2898705,-4.377363,-6.973115,-6.510882,-6.552892,-6.672813
2016/10/7,-1.7441,-1.441867,-1.810409,-1.44775,-1.487082,-4.233523,-3.8539085,-3.877065,-3.9583725,-6.722946,-6.26595,-6.30638,-6.429663
2016/10/8,-0.87205,-0.576746,-0.905204,-0.5791,-0.594834,-3.5473285,-3.1764155,-3.196227,-3.269098,-6.222607,-5.776085,-5.813354,-5.943362
2016/10/9,-0.581367,-0.288373,-0.603469,-0.28955,-0.297418,-3.1518175,-2.787297,-2.8049395,-2.87724,-5.722268,-5.286221,-5.320329,-5.457062
2016/10/11,0.581367,0.865121,0.60347,0.86865,0.892246,-2.320281,-1.9656175,-1.979327,-2.039258,-5.221929,-4.796356,-4.827304,-4.970762
2016/10/12,1.453418,1.730241,1.508674,1.737299,1.784493,-1.258832,-0.920727,-0.928721,-0.985259,-3.971082,-3.571695,-3.594741,-3.755011
2016/10/13,1.744101,2.018614,1.810409,2.026849,2.081909,-1.1134905,-0.7765405,-0.783946,-0.836551,-3.971082,-3.571695,-3.594741,-3.755011
2016/10/14,1.744101,2.018614,1.810409,2.026849,2.081909,-0.988406,-0.6540745,-0.6606895,-0.714976,-3.720913,-3.326763,-3.348228,-3.511861
2016/10/15,2.325468,2.595361,2.413879,2.605949,2.676741,-0.9478915,-0.610633,-0.6176525,-0.66071,-4.221251,-3.816627,-3.841254,-3.998161
2016/10/16,2.034784,2.306988,2.112144,2.316399,2.379325,-0.8430645,-0.5098875,-0.5159145,-0.566268,-3.720913,-3.326763,-3.348228,-3.511861
2016/10/17,2.034784,2.306988,2.112144,2.316399,2.379325,-0.8430645,-0.5098875,-0.5159145,-0.566268,-3.720913,-3.326763,-3.348228,-3.511861
