B1_004,B3_008,F_020,L1_002,M_B1,M_F,M_L1,B1_003,B2_005,F_019,M_B2,L1_001,B2_006
-1.7441,-1.810409,-1.44775,-1.487082,-4.233523,-3.877065,-3.9583725,-6.722946,-6.26595,-6.30638,-3.8539085,-6.429663,-1.441867
-0.87205,-0.905204,-0.5791,-0.594834,-3.5473285,-3.196227,-3.269098,-6.222607,-5.776085,-5.813354,-3.1764155,-5.943362,-0.576746
-0.581367,-0.603469,-0.28955,-0.297418,-3.1518175,-2.8049395,-2.87724,-5.722268,-5.286221,-5.320329,-2.787297,-5.457062,-0.288373
0.581367,0.60347,0.86865,0.892246,-2.320281,-1.979327,-2.039258,-5.221929,-4.796356,-4.827304,-1.9656175,-4.970762,0.865121
1.453418,1.508674,1.737299,1.784493,-1.258832,-0.928721,-0.985259,-3.971082,-3.571695,-3.594741,-0.920727,-3.755011,1.730241
1.744101,1.810409,2.026849,2.081909,-1.1134905,-0.783946,-0.836551,-3.971082,-3.571695,-3.594741,-0.7765405,-3.755011,2.018614
1.744101,1.810409,2.026849,2.081909,-0.988406,-0.6606895,-0.714976,-3.720913,-3.326763,-3.348228,-0.6540745,-3.511861,2.018614
2.325468,2.413879,2.605949,2.676741,-0.9478915,-0.6176525,-0.66071,-4.221251,-3.816627,-3.841254,-0.610633,-3.998161,2.595361
2.034784,2.112144,2.316399,2.379325,-0.8430645,-0.5159145,-0.566268,-3.720913,-3.326763,-3.348228,-0.5098875,-3.511861,2.306988
2.034784,2.112144,2.316399,2.379325,-0.8430645,-0.5159145,-0.566268,-3.720913,-3.326763,-3.348228,-0.5098875,-3.511861,2.306988
1.7441,1.810409,2.026849,2.081909,-0.9884065,-0.6606895,-0.714976,-3.720913,-3.326763,-3.348228,-0.654074,-3.511861,2.018615
1.453417,1.508674,1.737299,1.784493,-1.008663,-0.6822085,-0.7421085,-3.470743,-3.081831,-3.101716,-0.6757945,-3.26871,1.730242
2.906834,3.017348,3.185049,3.271572,-0.2819545,0.0416665,0.001431,-3.470743,-3.081831,-3.101716,0.045139,-3.26871,3.172109
