B1_004,B2_006,B3_008,F_020,L1_002,M_B1,M_B2,B1_003,B2_005,L1_001,M_L1,F_019,M_F
8.720503,8.939577,9.052045,8.976047,9.21989,5.626913,5.86806,2.533323,2.796543,2.566894,5.893392,2.814587,5.895317
8.139136,8.36283,8.448575,8.396947,8.625058,4.9609755,5.2122885,1.782815,2.061747,1.837443,5.2312505,2.075049,5.235998
8.720503,8.939577,9.052045,8.976047,9.21989,5.126574,5.3781955,1.532645,1.816814,1.594293,5.4070915,1.828537,5.402292
9.883237,10.09307,10.258984,10.134247,10.409554,6.333365,6.567273,2.783493,3.041476,2.810044,6.609799,3.0611,6.5976735
10.17392,10.381444,10.560719,10.423796,10.70697,6.4787065,6.71146,2.783493,3.041476,2.810044,6.758507,3.0611,6.742448
10.755287,10.95819,11.164189,11.002896,11.301802,7.2697285,7.4896975,3.78417,4.021205,3.782645,7.5422235,4.04715,7.525023
10.17392,10.381444,10.560719,10.423796,10.70697,6.7288755,6.956392,3.283831,3.53134,3.296344,7.001657,3.554125,6.9889605
9.883237,10.09307,10.258984,10.134247,10.409554,6.4584495,6.689739,3.033662,3.286408,3.053194,6.731374,3.307612,6.7209295
9.30187,9.516323,9.655515,9.555147,9.814722,6.4179355,6.6462975,3.534001,3.776272,3.539495,6.6771085,3.800637,6.677892
9.883237,10.09307,10.258984,10.134247,10.409554,6.4584495,6.689739,3.033662,3.286408,3.053194,6.731374,3.307612,6.7209295
9.30187,9.516323,9.655515,9.555147,9.814722,6.167766,6.4013655,3.033662,3.286408,3.053194,6.433958,3.307612,6.4313795
9.30187,9.516323,9.655515,9.555147,9.814722,6.167766,6.4013655,3.033662,3.286408,3.053194,6.433958,3.307612,6.4313795
9.30187,9.516323,9.655515,9.555147,9.814722,6.2928505,6.523832,3.283831,3.531341,3.296344,6.555533,3.554125,6.554636
9.592554,9.804697,9.95725,9.844697,10.112138,6.4381925,6.668019,3.283831,3.531341,3.296344,6.704241,3.554125,6.699411
8.720504,8.939576,9.052045,8.976047,9.219891,5.6269135,5.86806,2.533323,2.796544,2.566894,5.8933925,2.814587,5.895317
9.883237,10.09307,10.258985,10.134247,10.409554,6.4584495,6.689739,3.033662,3.286408,3.053194,6.731374,3.307612,6.7209295
10.755288,10.95819,11.164189,11.002896,11.301802,7.1446445,7.3672315,3.534001,3.776273,3.539494,7.420648,3.800637,7.4017665
10.755288,10.95819,11.164189,11.002896,11.301802,7.770068,7.979562,4.784848,5.000934,4.755245,8.0285235,5.0332,8.018048
12.499389,12.688431,12.974598,12.740195,13.086297,9.142457,9.334547,5.785525,5.980663,5.727846,9.4070715,6.019251,9.379723
13.662123,13.841924,14.181537,13.898395,14.275961,10.4743325,10.6460905,7.286542,7.450257,7.186747,10.731354,7.498326,10.6983605
13.952806,14.130298,14.483272,14.187945,14.573377,10.994928,11.1576755,8.03705,8.185053,7.916198,11.2447875,8.237864,11.2129045
13.662123,13.841924,14.181537,13.898395,14.275961,10.8495865,11.0134885,8.03705,8.185053,7.916198,11.0960795,8.237864,11.0681295
13.952806,14.130298,14.483272,14.187945,14.573377,11.2450975,11.402608,8.537389,8.674918,8.402498,11.4879375,8.730889,11.459417
14.24349,14.418671,14.785007,14.477494,14.870793,11.3904395,11.5467945,8.537389,8.674918,8.402498,11.6366455,8.730889,11.6041915
13.662123,13.841924,14.181537,13.898395,14.275961,11.099756,11.258421,8.537389,8.674918,8.402498,11.3392295,8.730889,11.314642
13.662123,13.841924,14.181537,13.898395,14.275961,10.9746715,11.135955,8.28722,8.429986,8.159348,11.2176545,8.484377,11.191386
13.371439,13.553551,13.879803,13.608845,13.978545,10.954414,11.1142345,8.537389,8.674918,8.402498,11.1905215,8.730889,11.169867
13.371439,13.553551,13.879803,13.608845,13.978545,11.079499,11.2367005,8.787559,8.91985,8.645648,11.3120965,8.977402,11.2931235
13.080756,13.265178,13.578068,13.319295,13.681129,10.683988,10.847582,8.28722,8.429986,8.159348,10.9202385,8.484377,10.901836
13.080756,13.265178,13.578068,13.319295,13.681129,10.683988,10.847582,8.28722,8.429986,8.159348,10.9202385,8.484377,10.901836
12.790072,12.976804,13.276333,13.029745,13.383713,10.2884765,10.4584625,7.786881,7.940121,7.673047,10.52838,7.991352,10.5105485
12.790072,12.976804,13.276333,13.029745,13.383713,10.413561,10.5809285,8.03705,8.185053,7.916198,10.6499555,8.237864,10.6338045
12.499389,12.688431,12.974598,12.740195,13.086297,10.143135,10.314276,7.786881,7.940121,7.673047,10.379672,7.991352,10.3657735
13.080756,13.265178,13.578068,13.319295,13.681129,10.683988,10.847582,8.28722,8.429986,8.159348,10.9202385,8.484377,10.901836
13.371439,13.553551,13.879803,13.608845,13.978545,10.7042445,10.869302,8.03705,8.185053,7.916198,10.9473715,8.237864,10.9233545
13.371439,13.553551,13.879803,13.608845,13.978545,11.079499,11.2367005,8.787559,8.91985,8.645648,11.3120965,8.977402,11.2931235
12.790072,12.976804,13.276333,13.029745,13.383713,10.413561,10.5809285,8.03705,8.185053,7.916198,10.6499555,8.237864,10.6338045
13.080756,13.265178,13.578068,13.319295,13.681129,10.558903,10.7251155,8.03705,8.185053,7.916198,10.7986635,8.237864,10.7785795
14.24349,14.418671,14.785007,14.477494,14.870793,11.3904395,11.5467945,8.537389,8.674918,8.402498,11.6366455,8.730889,11.6041915
14.824857,14.995418,15.388477,15.056594,15.465624,12.181462,12.3250325,9.538067,9.654647,9.375099,12.4203615,9.71694,12.386767
15.406224,15.572165,15.991946,15.635694,16.060456,12.4721455,12.613406,9.538067,9.654647,9.375099,12.7177775,9.71694,12.676317
15.406224,15.572165,15.991946,15.635694,16.060456,12.4721455,12.613406,9.538067,9.654647,9.375099,12.7177775,9.71694,12.676317
15.115541,15.283791,15.690211,15.346144,15.76304,12.451889,12.591685,9.788237,9.899579,9.618249,12.6906445,9.963453,12.6547985
14.824857,14.995418,15.388477,15.056594,15.465625,12.0563775,12.2025665,9.287898,9.409715,9.131949,12.298787,9.470428,12.263511
14.534174,14.707045,15.086742,14.767044,15.168209,11.911036,12.05838,9.287898,9.409715,9.131949,12.150079,9.470428,12.118736
14.534174,14.707045,15.086742,14.767044,15.168209,11.911036,12.05838,9.287898,9.409715,9.131949,12.150079,9.470428,12.118736
14.534174,14.707045,15.086742,14.767044,15.168209,11.785951,11.9359135,9.037728,9.164782,8.888799,12.028504,9.223915,11.9954795
15.115541,15.283791,15.690211,15.346144,15.76304,12.326804,12.469219,9.538067,9.654647,9.375099,12.5690695,9.71694,12.531542
15.406224,15.572165,15.991946,15.635694,16.060456,12.4721455,12.613406,9.538067,9.654647,9.375099,12.7177775,9.71694,12.676317
15.115541,15.283791,15.690211,15.346144,15.76304,12.451889,12.591685,9.788237,9.899579,9.618249,12.6906445,9.963453,12.6547985
15.406224,15.572165,15.991946,15.635694,16.060456,12.4721455,12.613406,9.538067,9.654647,9.375099,12.7177775,9.71694,12.676317
16.859642,17.014032,17.50062,17.083443,17.547536,13.6991935,13.824204,10.538745,10.634376,10.3477,13.947618,10.702991,13.893217
17.441008,17.590779,18.10409,17.662543,18.142368,14.3651305,14.479976,11.289253,11.369173,11.07715,14.609759,11.442529,14.552536
