B1_004,B2_006,B3_008,B6_014,B7_016,F_020,L1_002,L2_018,M_B1,M_B2,M_B3,M_B6,M_L1,M_L2,B1_003,B2_005,B3_007,B6_013,F_019,L1_001,L2_017,M_F
-11.03866,-11.426954,-10.759176,-11.750686,-12.427433,-11.694084,-11.12391,-11.416378,-9.4501495,-9.628553,-9.337878,-10.948597,-10.052124,-10.51468,-7.861639,-7.830152,-7.91658,-10.146508,-11.064984,-8.980338,-9.612982,-11.379534
-10.755618,-11.133955,-10.4833,-11.449386,-12.1256,-11.394236,-10.831176,-11.12365,-9.1448445,-9.3189255,-9.035011,-10.6306055,-9.7403855,-10.198954,-7.534071,-7.503896,-7.586722,-9.811825,-10.72565,-8.649595,-9.274258,-11.059943
-9.90649,-10.254959,-9.655671,-10.545487,-11.220102,-10.494691,-9.952972,-10.245467,-8.7202805,-8.8794275,-8.6211965,-10.178656,-9.3012835,-9.7598625,-7.534071,-7.503896,-7.586722,-9.811825,-10.72565,-8.649595,-9.274258,-10.6101705
-9.623447,-9.96196,-9.379795,-10.244188,-10.918269,-10.194843,-9.660238,-9.95274,-8.496867,-8.6513635,-8.4007945,-9.9443355,-9.0722305,-9.5288175,-7.370287,-7.340767,-7.421794,-9.644483,-10.555983,-8.484223,-9.104895,-10.375413
-9.623447,-9.96196,-9.379795,-10.244188,-10.918269,-10.194843,-9.660238,-9.95274,-8.414975,-8.5697995,-8.31833,-9.8606645,-8.9895445,-9.4441365,-7.206503,-7.177639,-7.256865,-9.477141,-10.386316,-8.318851,-8.935533,-10.2905795
-9.340405,-9.668961,-9.103919,-9.942888,-10.616437,-9.894994,-9.367503,-9.660012,-8.273454,-8.4233,-8.180392,-9.7100145,-8.843177,-9.2977725,-7.206503,-7.177639,-7.256865,-9.477141,-10.386316,-8.318851,-8.935533,-10.140655
-9.90649,-10.254959,-9.655671,-10.545487,-11.220102,-10.494691,-9.952972,-10.245467,-8.5564965,-8.716299,-8.456268,-10.011314,-9.1359115,-9.5905,-7.206503,-7.177639,-7.256865,-9.477141,-10.386316,-8.318851,-8.935533,-10.4405035
-10.189532,-10.547958,-9.931547,-10.846787,-11.521935,-10.794539,-10.245707,-10.538195,-8.7799095,-8.9443625,-8.6766705,-10.245635,-9.364965,-9.821545,-7.370287,-7.340767,-7.421794,-9.644483,-10.555983,-8.484223,-9.104895,-10.675261
-9.90649,-10.254959,-9.655671,-10.545487,-11.220102,-10.494691,-9.952972,-10.245467,-8.5564965,-8.716299,-8.456268,-10.011314,-9.1359115,-9.5905,-7.206503,-7.177639,-7.256865,-9.477141,-10.386316,-8.318851,-8.935533,-10.4405035
-9.340405,-9.668961,-9.103919,-9.942888,-10.616437,-9.894994,-9.367503,-9.660012,-8.355346,-8.504864,-8.2628565,-9.7936855,-8.925863,-9.3824535,-7.370287,-7.340767,-7.421794,-9.644483,-10.555983,-8.484223,-9.104895,-10.2254885
-9.057362,-9.375962,-8.828042,-9.641588,-10.314604,-9.595146,-9.074769,-9.367284,-7.886256,-8.0321085,-7.7950605,-9.308352,-8.4487525,-8.8973655,-6.71515,-6.688255,-6.762079,-8.975116,-9.877315,-7.822736,-8.427447,-9.7362305
-9.057362,-9.375962,-8.828042,-9.641588,-10.314604,-9.595146,-9.074769,-9.367284,-7.9681485,-8.1136725,-7.8775245,-9.392023,-8.5314385,-8.9820465,-6.878935,-6.851383,-6.927007,-9.142458,-10.046982,-7.988108,-8.596809,-9.821064
