B7_016,F_020,M_B7,B3_007,B7_015,F_019,M_F,L1_001
-0.992196,0.610931,-2.5116775,-3.840493,-4.031159,-4.050551,-1.71981,-2.934204
-0.676041,0.508788,-2.3260955,-3.68188,-3.97615,-3.997117,-1.7441645,-2.556945
-1.097581,-0.819064,-2.6743885,-3.576138,-4.251196,-4.371155,-2.5951095,-2.287474
-2.678357,-0.819064,-3.5197855,-3.417526,-4.361214,-4.264287,-2.5416755,-2.179686
-2.151432,-1.227634,-3.723902,-3.206042,-5.296372,-4.584891,-2.9062625,-2.556945
-1.519121,-0.308352,-3.1051955,-3.417526,-4.69127,-4.424589,-2.3664705,-2.23358
-0.254501,-0.512637,-2.3903715,-3.68188,-4.526242,-4.103985,-2.308311,-2.341368
1.64243,-0.716922,-1.3318875,-3.893364,-4.306205,-3.890249,-2.3035855,-2.664733
2.380126,0.917358,-0.495461,-3.1003,-3.371048,-3.783381,-1.4330115,-2.179686
3.644746,2.245211,-0.368068,-3.576138,-4.380882,-3.569646,-0.6622175,-1.964109
3.644746,2.245211,-0.368068,-3.576138,-4.380882,-3.569646,-0.6622175,-1.964109
4.698596,3.470921,-0.006171,-3.470396,-4.710938,-2.928439,0.271241,-1.58685
5.120137,3.573064,0.6996825,-3.311784,-3.720772,-2.661269,0.4558975,-0.886226
5.752447,4.492346,1.1808655,-3.258913,-3.390716,-2.768137,0.8621045,-0.724544
5.436292,4.288061,0.802751,-3.470396,-3.83079,-2.714703,0.786679,-0.239497
6.595527,4.185919,1.5198915,-2.835945,-3.555744,-2.394099,0.89591,-1.101803
6.279372,5.207344,1.499337,-2.51872,-3.280698,-2.500967,1.3531885,-0.994015
6.068602,4.594489,1.696503,-2.624462,-2.675596,-1.806325,1.394082,-0.67065
6.911683,5.513771,2.008025,-2.465849,-2.895633,-1.806325,1.853723,-0.185603
6.173987,5.207344,1.6666815,-2.465849,-2.840624,-1.59259,1.807377,0.24555
6.279372,4.900916,1.884402,-1.567043,-2.510568,-1.59259,1.654163,-0.185603
7.122453,4.492346,2.415961,-2.465849,-2.290531,-1.966627,1.2628595,0.029974
7.649378,6.433054,2.8994605,-1.725656,-1.850457,-1.165118,2.633968,0.353339
8.281688,6.228769,3.0780925,-1.302689,-2.125503,-1.485722,2.3715235,0.137762
8.492458,7.556621,3.431019,-1.725656,-1.63042,-1.32542,3.1156005,0.946174
8.492458,7.045909,3.5410375,-1.514173,-1.410383,-0.417042,3.3144335,1.377327
7.965533,6.535196,3.3600885,-0.985463,-1.245356,-0.79108,2.872058,0.568915
7.754763,6.739481,2.952153,-1.196947,-1.850457,-1.218552,2.7604645,1.592903
8.387073,6.739481,3.405831,-1.144076,-1.575411,-0.79108,2.9742005,1.107856
8.913999,7.250194,3.8618265,-0.879722,-1.190346,-0.630778,3.309708,0.568915
9.546309,8.373761,4.288,-0.456754,-0.970309,-0.684212,3.8447745,1.053962
8.703228,7.250194,3.8664595,-0.562496,-0.970309,-0.417042,3.416576,1.431221
8.070918,7.658764,3.275258,-0.139529,-1.520402,-0.630778,3.513993,1.000068
8.070918,7.352336,3.715332,-0.456754,-0.640254,-0.844514,3.253911,1.431221
8.070918,9.293044,3.8253505,-0.245271,-0.420217,-0.52391,4.384567,1.754586
8.070918,9.497329,4.100397,-0.351012,0.129876,0.010429,4.753879,1.431221
8.070918,8.782331,3.797846,-0.403883,-0.475226,0.170731,4.476531,1.377327
8.070918,9.293044,3.9628735,0.071955,-0.145171,0.331033,4.8120385,1.646798
8.070918,9.190901,4.072892,-0.1924,0.074866,0.277599,4.73425,2.024056
8.913999,8.884474,4.769479,-0.033787,0.624959,0.491335,4.6879045,2.401315
8.913999,8.884474,4.769479,-0.033787,0.624959,0.491335,4.6879045,2.401315
8.913999,8.373762,5.0170205,0.706406,1.120042,0.758505,4.5661335,3.101939
9.862465,8.578047,5.903823,0.442052,1.945181,0.758505,4.668276,3.64088
9.019384,8.884474,5.427273,0.494923,1.835162,1.292845,5.0886595,3.263621
10.073235,9.599472,6.064217,0.653535,2.055199,1.880618,5.740045,4.072033
10.17862,9.497329,6.4194605,1.182244,2.660301,1.560015,5.528672,3.910351
9.335539,10.008042,5.7228735,1.340857,2.110208,1.77375,5.890896,3.425304
9.651695,8.884474,5.798438,1.287986,1.945181,1.666883,5.2756785,3.856457
10.705545,9.905899,6.2703535,1.287986,1.835162,1.399713,5.652806,4.449292
10.916315,10.927324,6.8158125,1.605212,2.71531,1.880618,6.403971,4.449292
12.391706,10.927324,7.498499,2.08105,2.605292,1.880618,6.403971,4.55708
11.759396,11.131609,7.4023805,1.393728,3.045365,2.414958,6.7732835,5.096022
12.813246,11.744464,8.204352,1.869566,3.595458,2.521826,7.133145,4.880445
10.394022,12.561604,7.517328,1.763824,4.640634,3.376769,7.9691865,5.742751
10.499407,12.970174,7.2674695,1.763824,4.035532,3.750807,8.3604905,5.527175
11.026332,12.868032,7.585941,2.345405,4.14555,3.430203,8.1491175,6.066116
11.658643,12.868032,8.314666,2.874114,4.970689,3.964543,8.4162875,6.389481
10.815562,13.276602,7.783107,2.398275,4.750652,3.323336,8.299969,6.551163
